gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
mexX	0.5390039186699508	0.267244	64.03940886699507	0.5647147674157302	0.270721	64.04494382022472	0.056910626930729	0.7712322229845531	17762.0	0.9996260039675422	False	False	False
sab	4.317639350689655	0.156628	67.48768472906403	4.444726932247191	0.53312	69.66292134831461	0.04091796929201084	0.771539775492734	17760.0	0.9996260039675422	False	False	False
espF	0.06295743049261084	0.0332705	71.42857142857143	0.056919031460674153	0.0327859	68.53932584269663	-0.05447480130900133	0.7720490655834085	18374.0	0.9996260039675422	False	False	False
sigA	1.6906353485221677	0.0	20.19704433497537	1.818540146741573	0.0	21.34831460674157	0.09953738303643216	0.7736895073572403	17848.0	0.9996260039675422	False	False	False
emrD3	0.7370411334975371	0.0	28.57142857142857	0.7940567006741572	0.0	26.96629213483146	0.09506780859502217	0.7737859466563265	18311.0	0.9996260039675422	False	False	False
rho-1	0.8553113229556649	0.699157	75.36945812807882	0.8729737447191013	0.706357	77.52808988764045	0.026429910573994898	0.7750195101439032	17762.0	0.9996260039675422	False	False	False
cadC_Sa	0.4823382236453202	0.0	19.21182266009852	0.47899733370786507	0.0	17.97752808988764	-0.00830061322168678	0.7768126094997386	18274.0	0.9996260039675422	False	False	False
tccP2	0.021048629359605917	0.0	9.852216748768473	0.0036915937078651683	0.0	8.98876404494382	-0.22328780431148648	0.7779148196954049	18221.0	0.9996260039675422	False	False	False
nfaE	10.937707769458127	3.03809	70.44334975369459	11.027226388764046	3.03361	70.78651685393258	0.01165343144485224	0.7852460631861743	18356.0	0.9996260039675422	False	False	False
vac_auto	4.436453347192118	0.0	40.39408866995074	4.47839376752809	0.0	40.44943820224719	0.01327672591759902	0.7884782512057709	17811.0	0.9996260039675422	False	False	False
cnrT	0.015330297536945812	0.0	3.9408866995073892	0.017483429213483146	0.0	4.49438202247191	0.02668571997125509	0.7894955314468539	17967.0	0.9996260039675422	False	False	False
inhA2	0.40909353413793104	0.0	13.30049261083744	0.45043673528089884	0.0	12.359550561797752	0.11264601401747149	0.7895456882121515	18234.0	0.9996260039675422	False	False	False
qacR	17.71995259211823	0.31414	61.083743842364534	18.11138229325843	0.249086	59.55056179775281	0.03134693218831229	0.800457422660465	18330.0	0.9996260039675422	False	False	False
ireA	7.936833254827587	5.30406	88.17733990147784	8.382592191685392	5.30406	88.76404494382022	0.0778780549982002	0.8007175161463348	17796.0	0.9996260039675422	False	False	False
copR	53.047847799014775	41.1845	100.0	51.981928955056176	41.1357	100.0	-0.029228389080010672	0.8008666941407319	18338.0	0.9996260039675422	False	False	False
iroD	5.652341811773397	0.0	32.01970443349754	6.412251491011236	0.0	32.58426966292135	0.17900700969722944	0.8009675904228988	17842.0	0.9996260039675422	False	False	False
arsC_gluta	105.17395038029555	71.2154	80.78817733990148	108.43760170786518	74.4122	82.02247191011236	0.0440464443708986	0.803127525976928	17800.0	0.9996260039675422	False	False	False
aggC	3.077484154729065	0.436128	66.00985221674877	3.3327370932584275	0.436128	66.29213483146067	0.11147443737307874	0.807270474611292	17810.0	0.9996260039675422	False	False	False
copS	18.725463644088666	13.5547	99.50738916256158	18.243278522471915	13.4636	100.0	-0.037433879748553923	0.8124190022494694	18322.0	0.9996260039675422	False	False	False
iucB	10.474952754187193	0.0	41.87192118226601	11.465044878651685	0.0	42.69662921348314	0.12911964660698627	0.8141886528628111	17840.0	0.9996260039675422	False	False	False
cueA	31.53418872758621	30.5412	100.0	30.971902157303372	30.3128	100.0	-0.025874034833958764	0.8153135760833705	18318.0	0.9996260039675422	False	False	False
clpL	37.96465337931034	27.4507	100.0	37.78296992134831	24.9929	100.0	-0.006902502341085114	0.8225609645140143	18308.0	0.9996260039675422	False	False	False
cnf1	2.2769575501970443	0.0	8.374384236453201	2.596723883483146	0.0	8.98876404494382	0.18209167355653372	0.8237938811663166	17950.0	0.9996260039675422	False	False	False
nheB	0.2641601337931035	0.0	20.19704433497537	0.2918898831460674	0.0	19.101123595505616	0.10587533664494332	0.8251358213936733	18232.0	0.9996260039675422	False	False	False
merR_Bc2	0.06203965862068966	0.0	29.55665024630542	0.05061921011235955	0.0	28.08988764044944	-0.10544116632729268	0.8261233463399761	18256.0	0.9996260039675422	False	False	False
espP	2.0438293343842364	0.0	25.12315270935961	2.215094506966292	0.0	25.842696629213485	0.11088102796015743	0.8278565594095335	17888.0	0.9996260039675422	False	False	False
hmrM	4.596652664729064	3.21816	89.16256157635468	4.707546611910113	3.21816	91.01123595505618	0.03366794061264092	0.8282867333051097	17834.0	0.9996260039675422	False	False	False
adeD	0.1687517750738916	0.00898888	51.231527093596064	0.11523209123595507	0.00884814	50.56179775280899	-0.3203810829226654	0.8297844618585795	18284.0	0.9996260039675422	False	False	False
tcrB	20.856010064334974	5.07576	98.0295566502463	20.078599134044943	4.13146	97.75280898876404	-0.05453803879100341	0.8298229413451331	18298.0	0.9996260039675422	False	False	False
lpfA-O113	7.3990778487684725	0.0	31.527093596059114	8.306935293258427	0.0	32.58426966292135	0.16486676866571146	0.8336857318065775	17880.0	0.9996260039675422	False	False	False
terD	16.409776507881773	0.137064	58.128078817733986	15.06434011460674	0.124634	57.30337078651685	-0.12263787109967701	0.836738422697332	18280.0	0.9996260039675422	False	False	False
lmrS	36.79242721536946	1.87323	84.72906403940887	36.17571983438202	1.87213	84.26966292134831	-0.02432046692814676	0.83680288756903	18288.0	0.9996260039675422	False	False	False
terZ	6.234752932019704	0.0624487	53.69458128078818	6.0477175483146075	0.0619957	52.80898876404494	-0.04323746933622509	0.8374540185766048	18276.0	0.9996260039675422	False	False	False
