sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N04_1_3	Streptococcus_pneumoniae	False	0	142	gyrA,gyrB,parC,parE
N04_1_4	Enterococcus_faecalis	True	1	309	gyrA,gyrB,parC,parE
N04_1_4	Enterococcus_faecium	True	1	642	gyrA,gyrB,parC,parE
N04_1_4	Escherichia_coli	False	0	470	gyrA,gyrB,parC,parE
N04_1_4	Klebsiella_oxytoca	False	0	152	gyrA,gyrB,parC,parE
N04_1_4	Klebsiella_pneumoniae	True	59	256	gyrA,gyrB,parE
N04_1_4	Pseudomonas_aeruginosa	True	21	283	gyrA,gyrB,parC,parE
N04_1_4	Staphylococcus_aureus	True	23	424	gyrA,gyrB,parC,parE
N04_1_4	Streptococcus_mitis	False	0	313	gyrA,gyrB,parC,parE
N04_1_4	Streptococcus_oralis	False	0	403	gyrA,gyrB,parC,parE
N04_1_4	Streptococcus_pneumoniae	False	0	334	gyrA,gyrB,parC,parE
N04_2_2	Enterococcus_faecalis	False	0	34	gyrA,gyrB,parC,parE
N04_2_2	Enterococcus_faecium	False	0	4	gyrA,parC,parE
N04_2_2	Escherichia_coli	False	0	41	gyrA,gyrB,parC,parE
N04_2_2	Klebsiella_oxytoca	False	0	0	gyrA,gyrB,parC
N04_2_2	Klebsiella_pneumoniae	False	0	27	gyrA,gyrB
N04_2_2	Pseudomonas_aeruginosa	False	0	75	gyrA,gyrB,parC,parE
N04_2_2	Staphylococcus_aureus	True	6	186	gyrA,gyrB,parC,parE
N04_2_2	Streptococcus_mitis	False	0	4	gyrA,gyrB,parC,parE
N04_2_2	Streptococcus_oralis	False	0	60	gyrA,gyrB,parC,parE
N04_2_2	Streptococcus_pneumoniae	False	0	61	gyrA,gyrB,parC,parE
N04_2_3	Enterococcus_faecalis	True	1	56	gyrA,gyrB,parC,parE
N04_2_3	Enterococcus_faecium	True	1	88	gyrA,gyrB,parC,parE
N04_2_3	Escherichia_coli	False	0	27	gyrA,gyrB
N04_2_3	Klebsiella_oxytoca	False	0	0	gyrA,gyrB,parE
N04_2_3	Klebsiella_pneumoniae	False	0	18	gyrA,gyrB,parE
N04_2_3	Pseudomonas_aeruginosa	False	0	77	gyrA,gyrB,parC,parE
N04_2_3	Staphylococcus_aureus	True	17	185	gyrA,gyrB,parC,parE
N04_2_3	Streptococcus_mitis	False	0	46	gyrA,gyrB,parC,parE
N04_2_3	Streptococcus_oralis	False	0	87	gyrA,gyrB,parC,parE
N04_2_3	Streptococcus_pneumoniae	False	0	65	gyrA,gyrB,parC,parE
N04_2_4	Enterococcus_faecalis	True	4	406	gyrA,gyrB,parC,parE
N04_2_4	Enterococcus_faecium	True	1	915	gyrA,gyrB,parC,parE
N04_2_4	Escherichia_coli	False	0	429	gyrA,gyrB,parC,parE
N04_2_4	Klebsiella_oxytoca	True	4	11	gyrA,gyrB,parC,parE
N04_2_4	Klebsiella_pneumoniae	False	0	100	gyrA,gyrB,parE
N04_2_4	Pseudomonas_aeruginosa	False	0	134	gyrA,gyrB,parC,parE
N04_2_4	Staphylococcus_aureus	True	15	574	gyrA,gyrB,parC,parE
N04_2_4	Streptococcus_mitis	False	0	350	gyrA,gyrB,parC,parE
N04_2_4	Streptococcus_oralis	False	0	453	gyrA,gyrB,parC,parE
N04_2_4	Streptococcus_pneumoniae	False	0	367	gyrA,gyrB,parC,parE
N05_1_2	Enterococcus_faecalis	False	0	34	gyrA,gyrB,parC,parE
N05_1_2	Enterococcus_faecium	False	0	16	gyrA,gyrB,parC,parE
N05_1_2	Escherichia_coli	False	0	39	gyrA,gyrB,parC,parE
N05_1_2	Klebsiella_oxytoca	False	0	38	gyrA,gyrB,parC,parE
N05_1_2	Klebsiella_pneumoniae	False	0	34	gyrA,gyrB,parE
N05_1_2	Pseudomonas_aeruginosa	False	0	30	gyrA,gyrB,parC,parE
N05_1_2	Staphylococcus_aureus	False	0	56	gyrA,gyrB,parC,parE
N05_1_2	Streptococcus_mitis	True	3	61	gyrA,gyrB,parC,parE
N05_1_2	Streptococcus_oralis	False	0	80	gyrA,gyrB,parC,parE
N05_1_2	Streptococcus_pneumoniae	False	0	55	gyrA,gyrB,parC,parE
N05_1_3	Enterococcus_faecalis	False	0	8	gyrA,gyrB,parC,parE
N05_1_3	Enterococcus_faecium	False	0	17	gyrA,gyrB,parC,parE
N05_1_3	Escherichia_coli	False	0	0	gyrA,gyrB
N05_1_3	Klebsiella_oxytoca	False	0	2	gyrA
N05_1_3	Klebsiella_pneumoniae	False	0	0	gyrA
N05_1_3	Pseudomonas_aeruginosa	False	0	2	gyrA,gyrB
N05_1_3	Staphylococcus_aureus	True	9	33	gyrA,gyrB,parC,parE
N05_1_3	Streptococcus_mitis	False	0	0	gyrA,gyrB,parC,parE
N05_1_3	Streptococcus_oralis	False	0	0	gyrA,gyrB,parC,parE
N05_1_3	Streptococcus_pneumoniae	False	0	0	gyrA,gyrB,parC,parE
N05_1_4	Enterococcus_faecalis	False	0	539	gyrA,gyrB,parC,parE
