sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
ZJH_N09_2_2	127	127	0	127	0	17960	0	618.8235440999998	0.0	43	20	0.0	0.0
ZJH_N09_2_4	132	132	0	132	0	428503	0	4111.37081572	0.0	78	21	0.0	0.0
ZJH_N10_1_2	113	113	0	113	0	7962	0	223.10673481999999	0.0	33	16	0.0	0.0
ZJH_N10_1_4	78	78	0	78	0	22204	0	233.75517729000003	0.0	2	10	0.0	0.0
ZJH_N10_2_2	152	152	0	152	0	17986	0	581.4342621999999	0.0	72	22	0.0	0.0
ZJH_N10_2_3	173	173	0	173	0	351315	0	5715.13632197	0.0	98	22	0.0	0.0
ZJH_N10_2_4	133	131	2	131	2	684963	2	4966.18485057	0.01457454	76	18	0.0	0.0
ZJH_N11_1_2	125	125	0	125	0	10469	0	218.73457325	0.0	36	18	0.0	0.0
ZJH_N11_1_3	95	95	0	95	0	8501	0	229.40555550000005	0.0	10	14	0.0	0.0
ZJH_N11_1_4	126	125	1	125	1	54174	1	798.96779741	0.0388145	54	15	0.0	0.0
ZJH_N11_2_2	125	125	0	125	0	14217	0	468.07378862999997	0.0	46	21	0.0	0.0
ZJH_N11_2_3	77	77	0	77	0	7019	0	402.1026268999999	0.0	15	14	0.0	0.0
ZJH_N11_2_4	69	68	1	68	1	195010	1	2826.9963206099997	0.0447084	25	15	0.0	0.0
ZJH_N12_1_2	61	61	0	61	0	28350	0	724.21938061	0.0	22	13	0.0	0.0
ZJH_N12_1_3	127	127	0	127	0	18275	0	515.2144976	0.0	61	18	0.0	0.0
ZJH_N12_1_4	103	102	1	102	1	528756	1	3830.2909458699996	0.00957207	56	12	0.0	0.0
ZJH_N12_2_2	137	137	0	137	0	17680	0	313.36599272999996	0.0	54	19	0.0	0.0
ZJH_N12_2_4	141	141	0	141	0	624466	0	4339.592656729999	0.0	90	21	0.0	0.0
ZJH_N13_1_2	88	88	0	88	0	9284	0	364.5772327899999	0.0	21	20	0.0	0.0
ZJH_N13_1_3	61	61	0	61	0	9636	0	183.86046944	0.0	1	12	0.0	0.0
ZJH_N13_1_4	132	132	0	132	0	75892	0	869.3949174500001	0.0	28	15	0.0	0.0
ZJH_N13_2_2	150	150	0	150	0	45479	0	644.5225683	0.0	79	19	0.0	0.0
ZJH_N13_2_3	137	137	0	137	0	12976	0	209.58976396	0.0	51	18	0.0	0.0
ZJH_N13_2_4	165	165	0	165	0	485688	0	3471.4230686700002	0.0	91	20	0.0	0.0
ZJH_N14_1_2	72	72	0	72	0	11688	0	196.90117963	0.0	15	15	0.0	0.0
ZJH_N14_1_3	44	44	0	44	0	13324	0	192.47689053000005	0.0	1	10	0.0	0.0
ZJH_N14_1_4	136	136	0	136	0	94718	0	1314.15941362	0.0	72	19	0.0	0.0
ZJH_N14_2_2	126	126	0	126	0	116008	0	2305.16337282	0.0	79	19	0.0	0.0
ZJH_N14_2_3	133	133	0	133	0	31344	0	539.92035214	0.0	76	18	0.0	0.0
ZJH_N14_2_4	102	102	0	102	0	515204	0	4188.67819893	0.0	64	14	0.0	0.0
ZJH_N15_1_2	121	121	0	121	0	7391	0	215.46826927999996	0.0	42	20	0.0	0.0
