sample_name	gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	evidence	confidence
N48_1_2	soxS	soxS	STRESS	29	3.04414	29.0	85.1506	0.197045	Coverage	LOW
N48_1_3	soxS	soxS	STRESS	26	3.04414	26.0	126.222	0.255119	Coverage	LOW
N48_2_2	soxS	soxS	STRESS	12	3.04414	12.0	58.8807	0.0933744	Coverage	LOW
N48_2_3	soxS	soxS	STRESS	5	3.04414	5.0	8.1499	0.0455793	Coverage	LOW
N48_2_4	soxS	soxS	STRESS	4	3.04414	4.0	11.9509	0.0650707	Coverage	LOW
N49_1_2	soxS	soxS	STRESS	1	3.04414	1.0	21.516	0.0115271	Coverage	LOW
N49_1_4	soxS	soxS	STRESS	10	3.04414	10.0	72.0646	0.188853	Coverage	LOW
N50_2_2	soxS	soxS	STRESS	1	3.04414	1.0	10.7099	0.00880612	Coverage	LOW
N51_1_2	soxS	soxS	STRESS	16	3.04414	16.0	105.503	0.13171	Coverage	LOW
N52_1_3	soxS	soxS	STRESS	15	3.04414	15.0	62.69	0.115383	Coverage	LOW
N52_1_4	soxS	soxS	STRESS	4	3.04414	4.0	1.8672	0.0205226	Coverage	LOW
N52_2_2	soxS	soxS	STRESS	8	3.04414	8.0	67.9713	0.0798363	Coverage	LOW
N52_2_4	recN	recN	STRESS	1	3.61664	1.0	0.984514	0.0166328	Coverage	LOW
N53_1_2	soxS	soxS	STRESS	2	3.04414	2.0	25.8384	0.0199842	Coverage	LOW
N53_1_3	soxS	soxS	STRESS	1	3.04414	1.0	2.22448	0.0167898	Coverage	LOW
N53_1_4	clpB	clpB	STRESS	1	2.33372	1.0	0.32132	0.00387171	Coverage	LOW
N53_2_3	soxS	soxS	STRESS	1	3.04414	1.0	32.6415	0.0188293	Coverage	LOW
N54_1_2	soxS	soxS	STRESS	1	3.04414	1.0	29.6336	0.0387491	Coverage	LOW
N54_1_3	soxS	soxS	STRESS	1	3.04414	1.0	79.7613	0.0247657	Coverage	LOW
N55_1_4	soxS	soxS	STRESS	27	3.04414	27.0	83.5132	0.133737	Coverage	LOW
N55_2_4	bcsB	bcsB	STRESS	1	2.60078	1.0	0.432615	0.00382683	Coverage	LOW
N56_1_2	soxS	soxS	STRESS	18	3.04414	18.0	70.8171	0.351824	Coverage	LOW
N57_1_4	soxS	soxS	STRESS	44	3.04414	44.0	104.229	0.20395	Coverage	LOW
N57_2_2	soxS	soxS	STRESS	14	3.04414	14.0	185.741	0.277377	Coverage	LOW
N57_2_3	soxS	soxS	STRESS	2	3.04414	2.0	68.3678	0.0404084	Coverage	LOW
N57_2_4	kdpA	kdpA	STRESS	1	3.73665	1.0	1.09719	0.0117662	Coverage	LOW
N58_1_2	soxS	soxS	STRESS	8	3.04414	8.0	311.015	0.176351	Coverage	LOW
N58_1_3	soxS	soxS	STRESS	2	3.04414	2.0	103.516	0.0352455	Coverage	LOW
N59_1_2	soxS	soxS	STRESS	6	3.04414	6.0	63.0915	0.11682	Coverage	LOW
N59_1_3	soxS	soxS	STRESS	2	3.04414	2.0	54.1577	0.0403116	Coverage	LOW
N59_1_4	soxS	soxS	STRESS	7	3.04414	7.0	19.605	0.0343021	Coverage	LOW
N60_1_4	relA	relA	STRESS	1	2.70636	1.0	1.04034	0.00923147	Coverage	LOW
N60_2_3	fepA	fepA	STRESS	6	2.79627	6.0	38.7157	0.189012	Coverage	LOW
N60_2_4	fepA	fepA	STRESS	1	2.66312	1.0	1.97293	0.0141567	Coverage	LOW
N61_2_2	soxS	soxS	STRESS	9	3.04414	9.0	82.4865	0.14436	Coverage	LOW
N62_1_4	fepA	fepA	STRESS	2	2.66312	2.0	1.3887	0.0136094	Coverage	LOW
N62_2_2	soxS	soxS	STRESS	1	3.04414	1.0	17.8284	0.0102131	Coverage	LOW
N62_2_4	fepA	fepA	STRESS	1	2.66312	1.0	0.906775	0.00978832	Coverage	LOW
N63_1_3	soxS	soxS	STRESS	9	3.04414	9.0	111.852	0.209958	Coverage	LOW
N63_1_4	cpxA	cpxA	STRESS	1	4.37637	1.0	1.37648	0.0182743	Coverage	LOW
N63_1_4	fepA	fepA	STRESS	1	2.66312	1.0	0.837619	0.0111203	Coverage	LOW
N63_1_4	ftnA	ftnA	STRESS	1	12.1212	1.0	3.81244	0.0506142	Coverage	LOW
N63_1_4	soxS	soxS	STRESS	2	3.04414	2.0	1.91492	0.0254226	Coverage	LOW
N63_2_2	soxS	soxS	STRESS	1	3.19635	1.0	18.5977	0.013	Coverage	LOW
N63_2_4	fepA	fepA	STRESS	2	2.66312	2.0	1.34024	0.0152212	Coverage	LOW
N64_1_4	sodA	sodA	STRESS	1	13.5484	1.0	11.6905	0.019423	Coverage	LOW
N64_1_4	soxS	soxS	STRESS	5	3.04414	5.0	13.7901	0.0229115	Coverage	LOW
N64_2_3	soxS	soxS	STRESS	2	3.04414	2.0	34.6503	0.022456	Coverage	LOW
N65_1_2	soxS	soxS	STRESS	10	3.04414	10.0	126.031	0.192355	Coverage	LOW
N65_1_3	soxS	soxS	STRESS	6	3.04414	6.0	58.5201	0.0769644	Coverage	LOW
N65_1_4	soxS	soxS	STRESS	6	3.04414	6.0	23.2437	0.107549	Coverage	LOW
N65_2_2	soxS	soxS	STRESS	4	3.04414	4.0	76.5434	0.0835785	Coverage	LOW
N65_2_3	soxS	soxS	STRESS	1	3.04414	1.0	9.62839	0.0173198	Coverage	LOW
N65_2_4	recA	recA	STRESS	2	6.00601	2.0	4.73847	0.0287363	Coverage	LOW
N66_1_3	soxS	soxS	STRESS	1	3.04414	1.0	35.7438	0.0126124	Coverage	LOW
N66_1_4	soxS	soxS	STRESS	7	3.04414	7.0	41.1933	0.183529	Coverage	LOW
N67_1_2	soxS	soxS	STRESS	14	3.04414	14.0	109.419	0.175178	Coverage	LOW
N67_1_4	soxS	soxS	STRESS	2	3.04414	2.0	2.33123	0.00857183	Coverage	LOW
N68_1_2	recA	recA	STRESS	1	6.30631	1.0	36.5994	0.0569149	Coverage	LOW
N68_1_2	soxS	soxS	STRESS	4	3.04414	4.0	74.2015	0.115389	Coverage	LOW
N68_1_3	soxS	soxS	STRESS	1	3.04414	1.0	10.6972	0.014575	Coverage	LOW
ZJH_N01_2_2	dinB	dinB	STRESS	1	5.66572	1.0	77.7292	0.0456177	Coverage	LOW
ZJH_N01_2_3	umuC	umuC	STRESS	1	5.46448	1.0	2.71916	0.0108057	Coverage	LOW
ZJH_N02_2_2	rob	rob	STRESS	1	6.94444	1.0	1.17467	0.0193672	Coverage	LOW
ZJH_N02_2_4	recA	recA	STRESS	3	6.00601	3.0	12.1683	0.0474898	Coverage	LOW
ZJH_N02_2_4	soxS	soxS	STRESS	9	3.04414	9.0	18.5025	0.0722106	Coverage	LOW
ZJH_N04_2_4	cpxA	cpxA	STRESS	1	4.37637	1.0	0.641756	0.00650542	Coverage	LOW
ZJH_N05_1_2	soxS	soxS	STRESS	2	3.04414	2.0	19.6264	0.033757	Coverage	LOW
ZJH_N05_2_3	soxS	soxS	STRESS	1	3.04414	1.0	17.5078	0.0238088	Coverage	LOW
ZJH_N07_1_2	recA	recA	STRESS	1	6.00601	1.0	43.4436	0.0222467	Coverage	LOW
ZJH_N07_1_2	soxS	soxS	STRESS	1	3.04414	1.0	22.0194	0.0112757	Coverage	LOW
ZJH_N08_2_4	soxS	soxS	STRESS	17	3.04414	17.0	51.948	0.142737	Coverage	LOW
ZJH_N10_2_4	cpxA	cpxA	STRESS	1	4.37637	1.0	1.46795	0.00906083	Coverage	LOW
ZJH_N10_2_4	fepA	fepA	STRESS	1	2.66312	1.0	0.893277	0.00551371	Coverage	LOW
ZJH_N11_1_4	cspC	cspC	STRESS	1	14.094	1.0	46.9253	0.0388145	Coverage	LOW
ZJH_N11_2_4	panD	panD	STRESS	1	15.748	1.0	12.3435	0.0447084	Coverage	LOW
ZJH_N12_1_4	cpxA	cpxA	STRESS	1	4.37637	1.0	2.07614	0.00957207	Coverage	LOW
ZJH_N15_1_4	soxS	soxS	STRESS	11	3.04414	11.0	38.3608	0.0822289	Coverage	LOW
ZJH_N18_2_4	glpK	glpK	STRESS	1	3.98406	1.0	2.44107	0.00977239	Coverage	LOW
ZJH_N19_1_2	recA	recA	STRESS	8	6.00601	8.0	90.3417	0.251079	Coverage	LOW
ZJH_N19_1_2	soxS	soxS	STRESS	2	3.04414	2.0	11.4474	0.0318147	Coverage	LOW
ZJH_N20_2_2	soxS	soxS	STRESS	2	3.04414	2.0	71.5078	0.0354721	Coverage	LOW
ZJH_N20_2_4	recA	recA	STRESS	4	6.00601	4.0	23.8009	0.0676413	Coverage	LOW
ZJH_N20_2_4	soxS	soxS	STRESS	3	3.04414	3.0	9.04761	0.025713	Coverage	LOW
