hdf5_output	total_alignments	total_translated_alignments	total_reads_processed	sample_name
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N02_2_4/ZJH_N02_2_4.h5	40489	21078215	0	ZJH_N02_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N03_1_2/ZJH_N03_1_2.h5	125	16994462	0	ZJH_N03_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N03_1_3/ZJH_N03_1_3.h5	96	9550000	0	ZJH_N03_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N03_2_2/ZJH_N03_2_2.h5	0	20901356	0	ZJH_N03_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N03_2_4/ZJH_N03_2_4.h5	945	23597769	0	ZJH_N03_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N04_1_2/ZJH_N04_1_2.h5	0	11914965	0	ZJH_N04_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N04_1_3/ZJH_N04_1_3.h5	0	2660000	0	ZJH_N04_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N04_1_4/ZJH_N04_1_4.h5	74513	17590770	0	ZJH_N04_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N04_2_2/ZJH_N04_2_2.h5	0	5119339	0	ZJH_N04_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N04_2_3/ZJH_N04_2_3.h5	932	9183313	0	ZJH_N04_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N04_2_4/ZJH_N04_2_4.h5	7769	37373699	0	ZJH_N04_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N05_1_2/ZJH_N05_1_2.h5	0	10019784	0	ZJH_N05_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N05_1_4/ZJH_N05_1_4.h5	26	5794083	0	ZJH_N05_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N05_2_2/ZJH_N05_2_2.h5	0	14595869	0	ZJH_N05_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N05_2_3/ZJH_N05_2_3.h5	1295	7103201	0	ZJH_N05_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N05_2_4/ZJH_N05_2_4.h5	178341	25149056	0	ZJH_N05_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N06_1_2/ZJH_N06_1_2.h5	0	3600000	0	ZJH_N06_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N06_1_3/ZJH_N06_1_3.h5	0	804300	0	ZJH_N06_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N06_1_4/ZJH_N06_1_4.h5	0	1070000	0	ZJH_N06_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N06_2_2/ZJH_N06_2_2.h5	3	9960000	0	ZJH_N06_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N06_2_3/ZJH_N06_2_3.h5	6	1216386	0	ZJH_N06_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N06_2_4/ZJH_N06_2_4.h5	87596	18095498	0	ZJH_N06_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N07_1_2/ZJH_N07_1_2.h5	0	13488491	0	ZJH_N07_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N07_1_3/ZJH_N07_1_3.h5	0	820000	0	ZJH_N07_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N07_1_4/ZJH_N07_1_4.h5	0	1480000	0	ZJH_N07_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N07_2_3/ZJH_N07_2_3.h5	46	10587117	0	ZJH_N07_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N07_2_4/ZJH_N07_2_4.h5	224	25250000	0	ZJH_N07_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N08_1_2/ZJH_N08_1_2.h5	0	20867337	0	ZJH_N08_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N08_1_3/ZJH_N08_1_3.h5	0	5348993	0	ZJH_N08_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N08_1_4/ZJH_N08_1_4.h5	0	1300000	0	ZJH_N08_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N08_2_2/ZJH_N08_2_2.h5	0	11311699	0	ZJH_N08_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N08_2_3/ZJH_N08_2_3.h5	0	2260000	0	ZJH_N08_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N08_2_4/ZJH_N08_2_4.h5	1568	20142089	0	ZJH_N08_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N09_1_2/ZJH_N09_1_2.h5	0	1410000	0	ZJH_N09_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N09_1_3/ZJH_N09_1_3.h5	0	1690000	0	ZJH_N09_1_3
