sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N09_1_3	unknown	41.9512	2	N09	UCMC	Groin	Week.1
N10_1_2	intrinsic	13.0437	1	N10	UCMC	Axilla	Week.1
N10_1_2	acquired	668.667885	36	N10	UCMC	Axilla	Week.1
N10_1_2	unknown	7.46196	3	N10	UCMC	Axilla	Week.1
N10_1_4	intrinsic	285.6461	4	N10	UCMC	Stool	Week.1
N10_1_4	acquired	3215.53201	37	N10	UCMC	Stool	Week.1
N10_1_4	unknown	801.361117	17	N10	UCMC	Stool	Week.1
N10_2_2	intrinsic	0.0	0	N10	UCMC	Axilla	Week.3
N10_2_2	acquired	1583.295519	40	N10	UCMC	Axilla	Week.3
N10_2_2	unknown	28.75962	2	N10	UCMC	Axilla	Week.3
N10_2_3	intrinsic	78.58954	4	N10	UCMC	Groin	Week.3
N10_2_3	acquired	1510.173395	60	N10	UCMC	Groin	Week.3
N10_2_3	unknown	177.501337	17	N10	UCMC	Groin	Week.3
N10_1_3	intrinsic	282.3031	4	N10	UCMC	Groin	Week.1
N10_1_3	acquired	1901.438907	42	N10	UCMC	Groin	Week.1
N10_1_3	unknown	541.1074600000001	18	N10	UCMC	Groin	Week.1
N10_2_4	intrinsic	35.57906	3	N10	UCMC	Stool	Week.3
N10_2_4	acquired	594.617856	24	N10	UCMC	Stool	Week.3
N10_2_4	unknown	71.96843	11	N10	UCMC	Stool	Week.3
N11_1_2	intrinsic	0.0	0	N11	UCMC	Axilla	Week.1
N11_1_2	acquired	1839.959789	35	N11	UCMC	Axilla	Week.1
N11_1_2	unknown	8.732544	5	N11	UCMC	Axilla	Week.1
N11_1_3	intrinsic	5.46922	1	N11	UCMC	Groin	Week.1
N11_1_3	acquired	180.20639	21	N11	UCMC	Groin	Week.1
N11_1_3	unknown	34.236716	6	N11	UCMC	Groin	Week.1
N11_1_4	intrinsic	38.8259	1	N11	UCMC	Stool	Week.1
N11_1_4	acquired	4097.5262	45	N11	UCMC	Stool	Week.1
N11_1_4	unknown	896.3477710000001	14	N11	UCMC	Stool	Week.1
N11_2_3	intrinsic	566.15729	14	N11	UCMC	Groin	Week.3
