sample_name	Aminocoumarins	Aminoglycosides	Bacitracin	Cationic antimicrobial peptides	Chromium resistance	Drug and biocide and metal resistance	Drug and biocide resistance	Drug and metal resistance	Elfamycins	Fluoroquinolones	Fosfomycin	Fusidic acid	Glycopeptides	Lipopeptides	MLS	Multi-biocide resistance	Multi-drug resistance	Multi-metal resistance	Mupirocin	Oxazolidinone	Phenicol	Phenolic compound resistance	Rifampin	Sulfonamides	Tetracyclines	Trimethoprim	betalactams
ZJH_N6_1_2	2.41407	15.48332	0.0	0.0	0.0	0.0	0.0	0.0	1.58163	7.158950000000001	0.0	3.53786	0.0	8.32437	353.03582	0.0	17.89739	0.0	5.3276	0.0	0.0	0.0	0.0	0.0	4.70327	0.0	20.894199999999998
ZJH_N6_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N6_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N6_2_2	2.10899	331.1858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.37744	0.0	1.86088	0.0	22.13204	2465.683208	0.0	87.8581	0.0	4.31724	0.0	0.0	0.0	0.0	0.0	60.664500000000004	0.0	41.509949999999996
ZJH_N6_2_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N6_2_4	55.1119	1799.28429	0.0	0.0	0.0	0.0	47.9311	0.0	0.0	524.7697000000001	23.257451000000003	93.54849999999999	0.0	749.28573	1024.48711	0.0	580.64	0.0	634.3346	13.8627	0.0	0.0	0.0	1.49598	5906.42391	87.04609	889.0905600000001
ZJH_N7_1_2	11.7552	808.6709500000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.72377	12.448194	11.67821	1.66832	80.4641	3185.9964	0.0	194.423	0.0	11.72954	2.20731	0.0	0.0	0.0	0.0	117.500656	2.54097	194.140533
ZJH_N7_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N7_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N7_2_3	133.599	12.7141	0.0	0.0	26.8408	268.13890000000004	1442.9463	0.0	77.1589	1674.825	265.6162	0.0	0.0	118.0591	0.0	0.0	4544.6386	0.0	0.0	0.0	0.0	69.6582	0.0	35.9223	124.71891	0.0	1780.607161
ZJH_N7_2_4	128.118	15.9648	0.0	0.0	25.8375	279.7475	1694.4923	0.0	119.9	1778.4523	288.9639	0.0	0.0	124.9647	0.0	0.0	4816.7848	0.0	0.0	0.0	0.0	68.19630000000001	0.0	37.6364	157.5645	0.0	1824.507445
ZJH_N8_1_2	2.34901	860.695858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.406329	0.695431	4.342574	0.0	39.11411	1459.6936	0.0	188.5695	0.0	3.1989900000000002	0.247264	0.0	0.0	0.0	0.0	136.86079999999998	0.0	83.498044
ZJH_N8_1_3	8.54439	18.04831	0.0	0.0	0.0	0.456919	18.322466	1.32507	1.82768	21.520889999999998	5.711489	10.509139999999999	0.0	35.77677	25.541860000000003	0.0	105.228497	0.0	14.392959999999999	1.64491	0.0	0.0	0.0	0.0	0.959531	1.599218	100.019603
ZJH_N8_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N8_2_2	1.65057	1316.0582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.67324000000002	0.0	3.33171	0.0	2.81209	1348.39592	0.0	249.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256.389	0.0	121.287
