megares_class	effect	effect_label	coef	se	pvalue	fdr
Sulfonamides	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.13421828191103163	0.12458452549982821	0.28133417255354465	0.6470685968731527
Cationic antimicrobial peptides	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.04744664149698891	0.04804558568770608	0.32338100428485983	0.6541861727547875
Phenicol	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.08879663893653107	0.09777793150755995	0.3638010813795588	0.6541861727547875
Trimethoprim	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.0901222094151846	0.10047876916678519	0.3697574019918364	0.6541861727547875
Mupirocin	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.07796063493769707	0.09837060385264425	0.4280577482543345	0.7032377292749781
Tetracyclines	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.09597799219407058	0.14467017899532705	0.507057608045595	0.7676862324655508
Chromium resistance	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.036671058326560035	0.0589712082672981	0.5340425964977744	0.7676862324655508
Aminoglycosides	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.06429950935515169	0.1193123319834475	0.5899437486234003	0.7981591893140122
Multi-drug resistance	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.057047003023158564	0.12786009018636857	0.6554763350481865	0.8375530947837938
betalactams	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.047662271967535266	0.1371315550183536	0.7281661117396754	0.8773783352415323
Aminocoumarins	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.02885518085949653	0.09566563648160425	0.7629376828187238	0.8773783352415323
Oxazolidinone	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	-0.012745820373685112	0.05597518714630927	0.8198757186626242	0.897959120440017
Fluoroquinolones	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.015591164019477093	0.12290278589377672	0.8990530312406846	0.9399190781152611
Glycopeptides	MaternalAntibiotics[T.Mat.Abx]	Maternal abx (vs None)	0.0025570322680250404	0.0796736508777277	0.9743972272144344	0.9743972272144344
Fusidic acid	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.4906409884866265	0.08784471685057473	2.3326822921871435e-08	5.365169272030431e-07
Lipopeptides	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.521488698788604	0.09675092687509355	7.045280924252336e-08	8.102073062890187e-07
Oxazolidinone	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.25309687522618424	0.05562268626474458	5.358337325838144e-06	4.1080586164759105e-05
Tetracyclines	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.6212092999610946	0.14153453759521772	1.138204997241284e-05	6.268234944448388e-05
Mupirocin	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.4252451424837249	0.09776215165597492	1.3626597705322583e-05	6.268234944448388e-05
Aminocoumarins	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.3682120351182766	0.09442133017457785	9.632385776437581e-05	0.00036924145476344063
MLS	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.4864255365327131	0.1259809888617416	0.0001128764409772146	0.0003708797346394194
Fosfomycin	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.387294886207242	0.11219920503071319	0.0005567560392922944	0.0016006736129653464
Glycopeptides	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.25661193323603	0.07755558645878764	0.0009371396600776798	0.0023949124646429594
Fluoroquinolones	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.351208197335981	0.12146776447076801	0.0038356677575477147	0.008822035842359743
Multi-drug resistance	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.3520787209705421	0.12655438995709695	0.005401924210069616	0.011077093297938899
Trimethoprim	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.2710731113043067	0.09821332025328199	0.0057793530250116	0.011077093297938899
betalactams	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.33224290792574107	0.1357187690910828	0.014364178186553188	0.025413546022363336
Phenicol	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.20319507881571358	0.09623904240015214	0.03474154621979864	0.05707539736109777
Drug and biocide resistance	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.2694348439894189	0.15879942765749427	0.08975356530680728	0.13290335825233687
Cationic antimicrobial peptides	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.07851608642384968	0.04666382870040554	0.09245451008858217	0.13290335825233687
Aminoglycosides	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.11286678329581157	0.1181768910748531	0.33954409628875926	0.4593831890965567
Elfamycins	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.080964905254386	0.09901803000888493	0.41354084214020603	0.5284132982902633
Sulfonamides	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.07005946876402502	0.12196099858436461	0.5656690223814826	0.6847572376196895
Phenolic compound resistance	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	-0.04148428665774672	0.08070573664961708	0.6072386669303047	0.6983244669698504
Chromium resistance	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.02684502982727586	0.0574905957089875	0.6405381880502306	0.7015418250073954
Drug and metal resistance	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.006630427580594934	0.07729010041052102	0.9316363401333199	0.9708052904112879
Drug and biocide and metal resistance	PostNatalAbxCohort[T.High.Infant.Abx]	High infant abx (vs None)	0.0039009913301679884	0.10658938197644348	0.9708052904112879	0.9708052904112879
Tetracyclines	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.500087869914729	0.15267017747017833	0.0010543426668466298	0.015557650678806385
Fusidic acid	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.30034658686669974	0.09372567334746193	0.0013528391894614248	0.015557650678806385
Lipopeptides	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.3125016958539233	0.10299189305278403	0.002411458148234383	0.01848784580313027
Glycopeptides	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.2102514367762369	0.08399355911181129	0.012308110836413588	0.07077163730937813
Oxazolidinone	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.14159825237245977	0.05934454165252582	0.017031052900897282	0.0783428433441275
Elfamycins	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.21378946491483902	0.10600736226712945	0.04372247882577573	0.16760283549880697
Aminocoumarins	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.1920914035248086	0.10124605430203866	0.0577919187177068	0.18893793424192348
