sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
N63_1_4	389.41364	0.0	197.3203	46.027434	111.3732	773.98281	207.75496	43.5192	6.950060000000001	0.0	0.0
N63_2_2	0.0	0.0	161.88	117.11726	0.0	359.001028	4.088552	0.0	7.38578	0.0	0.0
N63_2_3	72.11336	0.0	0.0	6.201147	24.0045	67.03739999999999	28.58026	7.07631	0.275051	0.0	0.0
N63_2_4	419.173325	0.0	0.0	25.50816	123.2786	372.27447	204.28838	43.068799999999996	0.0	0.0	1.36393
N63_1_2	0.0	0.0	222.90230000000003	81.00259	0.0	93.26339999999999	82.16463	3.95135	8.01891	0.0	0.0
N64_1_2	0.0	0.0	30.3001	68.95711	0.0	402.40433	104.926154	0.0	2.150331	0.0	0.0
N64_1_3	0.0	0.0	36.00534	0.0	0.0	0.665006	0.0	0.0	1.23501	0.0	0.0
N64_1_4	0.0	0.0	243.2377	62.601304	0.0	297.97256699999997	380.32315	6.68727	12.17389	0.0	0.0
N64_2_3	10.264254	0.0	33.13749	20.719922	3.97171	137.02409	61.17872	0.813484	1.60304	0.0	0.0
N64_2_4	209.83642	0.0	5.259306	10.616	37.58457	165.385567	138.241662	9.04795	0.0	0.0	9.28169
N64_2_2	0.0	0.0	69.05767	49.06541	0.0	488.77002699999997	8.398906	0.412767	2.90731	0.0	0.0
N65_1_2	0.0	0.0	549.0217	1240.252	0.0	3762.361	2125.83905	0.0	27.4471	0.0	0.0
N65_1_4	0.0	0.0	253.2389	147.071	0.0	184.64385000000001	132.34476	9.88052	14.9155	0.0	0.0
N65_2_2	0.0	0.0	311.455	1122.9414199999999	0.0	1493.100292	2201.69888	0.0	14.3571	0.0	0.0
N65_2_3	27.011976	0.0	39.271	9.378688	12.891290000000001	104.429917	160.31559	8.85178	1.194288	0.0	0.0
N65_2_4	43.767447	0.0	8.620857	19.174989	13.442699999999999	305.214443	498.694562	14.521694	0.49454699999999996	0.0	0.0
N65_1_3	0.0	0.0	318.7507	97.786047	0.0	271.434902	127.27953	4.23213	15.4039	0.0	0.0
N66_1_3	0.0	0.0	18.82777	6.977189	0.0	44.63283	0.399458	0.0	0.745655	0.0	0.0
N66_1_4	0.0	0.0	855.327	305.09127	0.0	615.81455	403.69985	11.5822	56.35339999999999	0.0	0.0
N66_2_2	0.0	0.0	39.1695	337.86737	0.0	227.836694	768.5341090000001	0.0	1.63413	0.0	0.0
N66_1_2	0.0	0.0	275.6068	288.66928	0.0	864.3565120000001	455.812955	1.93141	9.91118	0.0	0.0
N66_2_4	401.52057	0.0	0.0	30.8368	113.06230000000001	361.00415	235.12628	50.215287	0.311668	0.0	1.22834
N66_2_3	0.862784	0.0	0.0	774.1197	10.86093	104.193836	42.327084	660.94366	28.8271	0.0	0.0
N67_1_2	0.0	0.0	699.9448	467.9223	0.0	2393.31661	50.32354	5.57986	32.2217	0.0	0.0
N67_1_3	0.0	0.0	149.3208	45.33709	0.0	704.1841	76.08554	6.17213	5.56614	0.0	0.0
N67_2_2	0.0	0.0	21.197200000000002	1004.74685	0.0	480.099021	1979.087745	98.16737	10.07736	0.0	0.0
