category	effect	effect_label	coef	se	pvalue	fdr
Trimethoprim	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.0809995865061958	0.10742220950987569	0.4508311080859776	0.7084488841351076
Sulfonamide	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.08325872200400673	0.13145919489091476	0.5265098718552201	0.7239510738009277
Macrolide (MLS)	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.059641121309068165	0.11993093248923692	0.6189806359926147	0.7565318884354179
Fluoroquinolone	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.00653301463864069	0.11165956325148364	0.9533437270241432	0.9649012579043101
Colistin (mcr)	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.0015081911746438479	0.034273997850664116	0.9649012579043101	0.9649012579043101
Tetracycline	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.7548566576918427	0.07518826159448576	1.021342766689837e-23	1.1234770433588206e-22
Fluoroquinolone	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5090037908433704	0.0540444846317254	4.58723205925544e-21	2.522977632590492e-20
ESBL	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.6398407589060215	0.07307327300480357	2.0202742959934637e-18	7.407672418642701e-18
Aminoglycoside	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.58651512317537	0.0718638872168001	3.309653614122408e-16	9.101547438836622e-16
Sulfonamide	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5106400750325732	0.06517942395254789	4.7117909515326856e-15	1.0365940093371908e-14
Macrolide (MLS)	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5233130929810652	0.07664129263036312	8.605690812351072e-12	1.5777099822643632e-11
Colistin (mcr)	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.06650990163939852	0.019675893184136293	0.0007241371470656726	0.0011379298025317713
Carbapenemase	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.09026165008458054	0.03693504774708582	0.014533720305161077	0.01998386541959648
Trimethoprim	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.08338369343691834	0.05107349395822243	0.10254858895599267	0.12533716427954658
Vancomycin (VRE)	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.016609430802497174	0.013946841413055947	0.2336889776265021	0.2570578753891523
Methicillin (mecA)	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	-0.07121441460425168	0.08320833040493032	0.3920769979919537	0.3920769979919537
