effect_label	gene_family	coef	pvalue	fdr
Postnatal Week 3 (vs Week 1)	arsB_pYV	0.4139609807953488	1.6357409106278956e-20	1.6855243296470054e-19
Postnatal Week 3 (vs Week 1)	lapB	0.3466723756731862	2.0985129235775744e-20	2.0146146813194894e-19
Postnatal Week 3 (vs Week 1)	ftsI	0.43119662495890626	2.1251209718560016e-20	2.0146146813194894e-19
Postnatal Week 3 (vs Week 1)	baeR	0.31390503713099654	3.6007444358255336e-20	3.282217043425582e-19
Postnatal Week 3 (vs Week 1)	oqxA	0.34676822862678364	5.257151811402321e-20	4.614611034453149e-19
Postnatal Week 3 (vs Week 1)	pmrB	0.31869979259576153	7.792252335175124e-20	6.595585012273229e-19
Postnatal Week 3 (vs Week 1)	arsB_R773	0.4115067834188807	8.887457797983065e-20	7.26319826938616e-19
Postnatal Week 3 (vs Week 1)	soxS	0.2610784508074835	1.4646362048432152e-19	1.15706260182614e-18
Low infant abx (vs None)	rpoC	-0.37621694945733053	0.0001436085304976457	0.028592846501044964
Low infant abx (vs None)	tet(M)	-0.23468703694943396	0.0002412898438906748	0.028592846501044964
Low infant abx (vs None)	fusA	-0.2883427080011408	0.0013242507127563658	0.1046158063077529
Low infant abx (vs None)	bleO	-0.17568847743391683	0.0035646452179283763	0.18790975807719806
Low infant abx (vs None)	ant(4')-Ia	-0.2047912837906118	0.0039643408877046	0.18790975807719806
Low infant abx (vs None)	yybT	-0.16599779631549882	0.005021286433034163	0.19834081410484944
Low infant abx (vs None)	aadE	-0.06423063744661858	0.008260745787042365	0.25379762774662384
Low infant abx (vs None)	sul2	0.13210255176331578	0.009640835341273897	0.25379762774662384
Low infant abx (vs None)	gshF	-0.15212746380900022	0.010445883633348082	0.25379762774662384
Low infant abx (vs None)	clpK	-0.20375006601145051	0.01073369816039431	0.25379762774662384
Low infant abx (vs None)	ileS	-0.2165548995599705	0.012662360395166666	0.25379762774662384
Low infant abx (vs None)	mreE	-0.08147016723119667	0.014596367342294301	0.25379762774662384
Low infant abx (vs None)	lsa(A)	-0.11430284579427616	0.014722683749930885	0.25379762774662384
Low infant abx (vs None)	rplC	-0.14159825237245977	0.017031052900897282	0.25379762774662384
Low infant abx (vs None)	qacA	-0.25113722451701087	0.01706973226746404	0.25379762774662384
Low infant abx (vs None)	qacB	-0.2509555421531899	0.017134017063063212	0.25379762774662384
Low infant abx (vs None)	mph(C)	-0.10100428240003087	0.02160480490768229	0.2867510967458021
Low infant abx (vs None)	fusE	-0.12917392925251162	0.021778564309807756	0.2867510967458021
Low infant abx (vs None)	LHR_hsp20A	-0.102623618836343	0.02691577975724878	0.3075906418568751
Low infant abx (vs None)	msr(A)	-0.10817463640048956	0.029136066338353347	0.3075906418568751
Low infant abx (vs None)	dfrC	-0.1328212896525636	0.02939507311684148	0.3075906418568751
Low infant abx (vs None)	liaS	-0.10550365756987318	0.029447523536702092	0.3075906418568751
Low infant abx (vs None)	arsR_pKW301	-0.10134128144715786	0.03173849083800801	0.3075906418568751
Low infant abx (vs None)	tet(O/W)	-0.132463767537234	0.03201919777487431	0.3075906418568751
Low infant abx (vs None)	tet(O/W/O)	-0.12841305432458974	0.032446270238066996	0.3075906418568751
Low infant abx (vs None)	tet(W)	-0.13778468007877573	0.033759848561532316	0.3077340041955061
Low infant abx (vs None)	aac(3)-XI	-0.08188457069457517	0.037596610763805875	0.31338424845742363
Low infant abx (vs None)	tet(W/N/W)	-0.1253963575427833	0.037709567172203015	0.31338424845742363
Low infant abx (vs None)	arsR_R46	-0.09545246542309972	0.03927908246369718	0.31338424845742363
Low infant abx (vs None)	arsA	-0.14578627535127436	0.03966889220980046	0.31338424845742363
