Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
C(AnyMilk)[T.Mother],-3.592570342356221,3.9136032377342547,-0.9179699944330859,0.35863457500966256,False,-11.263091738094708,4.077951053382265,PC3
C(AnyMilk)[T.No.Milk],2.324221617550374,5.339936558720099,0.4352526648944785,0.6633790392292164,False,-8.141861717269776,12.790304952370523,PC3
C(PICC)[T.PICC_LE],-1.8639634001425778,3.5942530309534098,-0.5185954867646432,0.6040428570294367,False,-8.908569892135189,5.180643091850033,PC3
C(PICC)[T.PICC_Neck],5.306473525789848,8.59507893402022,0.6173850835489446,0.5369807583888824,False,-11.539571629168705,22.1525186807484,PC3
C(PICC)[T.PICC_UE],-1.5295505509347116,3.071136152015085,-0.4980406192448086,0.6184554126607881,False,-7.548866800503207,4.489765698633784,PC3
C(PICC)[T.axillary],1.2714247933374718,7.401093840845571,0.1717887680765053,0.8636035960278816,False,-13.234452580921067,15.77730216759601,PC3
C(PICC)[T.peripheral_UE],1.9710706602856067,6.533756659643937,0.30167494183859334,0.7628998723348598,False,-10.834857076365237,14.77699839693645,PC3
C(UVC)[T.UVC],6.685715555250853,3.5082870033060747,1.90569230765627,0.0566901379045095,False,-0.19040061865900615,13.561831729160712,PC3
C(Delivery)[T.Vaginal],-0.5733173061722006,3.269057835784294,-0.17537692355774842,0.8607834718975673,False,-6.980552927687871,5.833918315343469,PC3
Group Var,0.07627945899932652,0.03654800397973858,2.087103280431243,0.03687879960702945,True,0.004646687492212337,0.1479122305064407,PC3
Intercept,-4.038637689270273,8.005483080278655,-0.5044839454122857,0.6139213412286803,False,-19.72909620546121,11.651820826920662,PC4
C(SampleType)[T.Groin],-4.941405353982972,1.8285880427946954,-2.702306500063759,0.006886025249329356,True,-8.525372060421162,-1.357438647544782,PC4
C(SampleType)[T.Stool],5.84408708015557,1.7024368469671078,3.432777603801759,0.0005974319295702471,True,2.5073721741461115,9.18080198616503,PC4
C(Location)[T.ZCH],1.8717138930729516,2.7673824130636917,0.6763481202443682,0.49881964766194054,False,-3.5522559679814316,7.295683754127334,PC4
C(GestationCohort)[T.28-32 Weeks],0.22385621798739622,3.5554741083936174,0.06296100355756372,0.9497975573343238,False,-6.744744982428754,7.1924574184035475,PC4
C(GestationCohort)[T.33-36 Weeks],-1.4063309370122818,4.535032219212707,-0.31010384690418463,0.7564819869675621,False,-10.294830755397943,7.482168881373379,PC4
C(SampleCollectionWeek)[T.Week.3],1.6417536253081488,1.4638494246590883,1.1215317625243404,0.2620615792662693,False,-1.2273385258133436,4.510845776429641,PC4
C(MaternalAntibiotics)[T.None.Mat.Abx],1.250437749208024,2.3262388323554553,0.53753627177734,0.590897237132237,False,-3.308906581647177,5.809782080063226,PC4
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-1.375904109600623,2.8957906674305796,-0.4751393548834992,0.6346876493210574,False,-7.051549524531764,4.299741305330518,PC4
C(PostNatalAbxCohort)[T.No.Infant.Abx],-5.070013457579656,2.729888239386745,-1.857223817601635,0.063279317762877,False,-10.420496088597133,0.2804691734378215,PC4
