PC	variance_explained	cumulative_variance
PC181	3.669245211120794e-05	0.9991080169043888
PC182	3.507410199995855e-05	0.9991430910063888
PC183	3.43977510188675e-05	0.9991774887574076
PC184	3.259109465466899e-05	0.9992100798520623
PC185	3.159373930724081e-05	0.9992416735913696
PC186	3.063007441330812e-05	0.9992723036657829
PC187	3.000011301578058e-05	0.9993023037787987
PC188	2.8406176081043337e-05	0.9993307099548797
PC189	2.7549502694900256e-05	0.9993582594575746
PC190	2.6927460734756097e-05	0.9993851869183094
PC191	2.617138474095946e-05	0.9994113583030503
PC192	2.5409607379810892e-05	0.9994367679104301
PC193	2.461289884037889e-05	0.9994613808092705
PC194	2.4442093909953555e-05	0.9994858229031804
PC195	2.3004782484858628e-05	0.9995088276856653
PC196	2.1694027388508537e-05	0.9995305217130538
PC197	2.1481616326086077e-05	0.9995520033293799
PC198	2.0012145666198647e-05	0.999572015475046
PC199	1.9622837539323356e-05	0.9995916383125854
PC200	1.892802013349351e-05	0.9996105663327188
PC201	1.8642473881138305e-05	0.9996292088066
PC202	1.7885622715707892e-05	0.9996470944293158
PC203	1.714812570174e-05	0.9996642425550175
PC204	1.6671739219731322e-05	0.9996809142942372
PC205	1.6214483027675686e-05	0.9996971287772649
PC206	1.59472774313128e-05	0.9997130760546962
PC207	1.5154854003934636e-05	0.9997282309087001
PC208	1.482452901334181e-05	0.9997430554377135
PC209	1.4021471456040086e-05	0.9997570769091695
PC210	1.355645541980336e-05	0.9997706333645893
PC211	1.3095088831306401e-05	0.9997837284534206
PC212	1.2242513370241654e-05	0.9997959709667908
PC213	1.1836554775219975e-05	0.9998078075215661
PC214	1.1424579147182854e-05	0.9998192321007132
PC215	1.063765258230078e-05	0.9998298697532955
PC216	1.04785092151929e-05	0.9998403482625107
PC217	1.014112159491216e-05	0.9998504893841056
PC218	9.911231764037919e-06	0.9998604006158697
PC219	9.531754430718248e-06	0.9998699323703004
PC220	9.31618788837982e-06	0.9998792485581888
PC221	8.961238438128455e-06	0.9998882097966268
PC222	8.625205802745342e-06	0.9998968350024295
PC223	8.166396511301477e-06	0.9999050013989409
PC224	7.77349345896821e-06	0.9999127748923998
PC225	7.449769077103028e-06	0.9999202246614769
PC226	6.91253807247836e-06	0.9999271371995494
PC227	6.5239824428008775e-06	0.9999336611819922
PC228	6.286165515397402e-06	0.9999399473475076
PC229	5.600931378258347e-06	0.9999455482788858
PC230	5.467232017964677e-06	0.9999510155109038
PC231	5.239574742811266e-06	0.9999562550856467
PC232	5.018579850886166e-06	0.9999612736654976
PC233	4.611066989748119e-06	0.9999658847324874
PC234	4.238427202894306e-06	0.9999701231596902
PC235	3.846207387148068e-06	0.9999739693670774
PC236	3.7360205482916596e-06	0.9999777053876256
PC237	3.60695500465973e-06	0.9999813123426303
PC238	3.41011070267635e-06	0.999984722453333
PC239	2.8943334526749453e-06	0.9999876167867857
PC240	2.81797786749133e-06	0.9999904347646532
PC241	2.4613641197063092e-06	0.999992896128773
PC242	2.426902438741598e-06	0.9999953230312117
PC243	1.8428283402176951e-06	0.999997165859552
PC244	1.5089978299616273e-06	0.9999986748573819
PC245	1.2416135091584736e-06	0.999999916470891
PC246	8.009044007447048e-08	0.9999999965613311
PC247	1.5592178317087756e-09	0.999999998120549
PC248	1.0163137430830915e-09	0.9999999991368627
PC249	8.631367750511207e-10	0.9999999999999994
PC250	5.451797071726729e-32	0.9999999999999994
