PC	variance_explained	cumulative_variance
PC164	2.7944570113255703e-05	0.9994466146280487
PC165	2.7168654214662046e-05	0.9994737832822634
PC166	2.634040461320762e-05	0.9995001236868767
PC167	2.4547872870523667e-05	0.9995246715597472
PC168	2.4012848112978464e-05	0.9995486844078602
PC169	2.2546237254768153e-05	0.9995712306451149
PC170	2.1951521559260248e-05	0.9995931821666741
PC171	2.139108235993228e-05	0.999614573249034
PC172	2.0768938775894503e-05	0.9996353421878099
PC173	2.03665944739518e-05	0.9996557087822838
PC174	1.939095493536476e-05	0.9996750997372192
PC175	1.8373771772085172e-05	0.9996934735089913
PC176	1.6203511024482584e-05	0.9997096770200158
PC177	1.5724371907289572e-05	0.9997254013919231
PC178	1.5323547739778473e-05	0.9997407249396629
PC179	1.4222834953300788e-05	0.9997549477746163
PC180	1.4156512831653748e-05	0.9997691042874479
PC181	1.3282307947871571e-05	0.9997823865953958
PC182	1.2900903967895982e-05	0.9997952874993636
PC183	1.2321705892388842e-05	0.999807609205256
PC184	1.1398897717377735e-05	0.9998190081029734
PC185	1.1168319250418043e-05	0.9998301764222238
PC186	1.0784379052981078e-05	0.9998409608012768
PC187	1.0509747689216885e-05	0.9998514705489661
PC188	9.635055706830968e-06	0.9998611056046729
PC189	9.073313529173534e-06	0.9998701789182021
PC190	8.621844256143076e-06	0.9998788007624582
PC191	7.746809462442e-06	0.9998865475719206
PC192	7.381006875163379e-06	0.9998939285787958
PC193	6.893204334937998e-06	0.9999008217831307
PC194	6.4573405152928545e-06	0.999907279123646
PC195	6.334046065919293e-06	0.9999136131697118
PC196	5.865984674862202e-06	0.9999194791543867
PC197	5.723959519271917e-06	0.999925203113906
PC198	5.244704241370187e-06	0.9999304478181473
PC199	4.958408199764443e-06	0.9999354062263471
PC200	4.754169911445109e-06	0.9999401603962585
PC201	4.5771994686601726e-06	0.9999447375957272
PC202	4.4350984901316996e-06	0.9999491726942173
PC203	3.990461779954544e-06	0.9999531631559972
PC204	3.6624472679171587e-06	0.9999568256032652
PC205	3.54838704348688e-06	0.9999603739903087
PC206	3.2915094921819294e-06	0.9999636654998009
PC207	2.9265676831645987e-06	0.9999665920674841
PC208	2.80621324490501e-06	0.999969398280729
PC209	2.5462975014173312e-06	0.9999719445782304
PC210	2.48379956812103e-06	0.9999744283777985
PC211	2.4431916007128724e-06	0.9999768715693992
PC212	2.2856225299082007e-06	0.9999791571919291
PC213	2.139285853155459e-06	0.9999812964777822
PC214	1.9032241355385777e-06	0.9999831997019177
PC215	1.8590874097442697e-06	0.9999850587893275
PC216	1.7149620438781467e-06	0.9999867737513715
PC217	1.670470767861854e-06	0.9999884442221393
PC218	1.4910098727084937e-06	0.999989935232012
PC219	1.2933681768609577e-06	0.9999912286001889
PC220	1.101657079974088e-06	0.9999923302572689
PC221	1.0617853886041779e-06	0.9999933920426575
PC222	1.0004126083946174e-06	0.9999943924552659
PC223	8.642479344995242e-07	0.9999952567032004
PC224	8.479015926028458e-07	0.999996104604793
PC225	7.36360833751553e-07	0.9999968409656268
PC226	6.927437269333955e-07	0.9999975337093537
PC227	5.657825331755451e-07	0.9999980994918869
PC228	4.975809063024936e-07	0.9999985970727931
PC229	3.6624724083098716e-07	0.999998963320034
PC230	2.7833133245108157e-07	0.9999992416513664
PC231	2.2241985221596642e-07	0.9999994640712186
PC232	2.064198729870837e-07	0.9999996704910916
PC233	1.8890255956140748e-07	0.9999998593936512
PC234	8.618840590772863e-08	0.9999999455820571
PC235	3.815147587258493e-08	0.9999999837335329
PC236	1.566800753237899e-08	0.9999999994015405
PC237	5.984594357647986e-10	0.9999999999999999
