effect_label	aro_id	coef	pvalue	fdr
Maternal abx (vs None)	ARO:3000502	0.33108797474697554	0.0017236912237335513	0.20167187317682547
Maternal abx (vs None)	ARO:3003077	-0.09713136111323693	0.010963867224952559	0.3786905606166799
Maternal abx (vs None)	ARO:3003499	0.21641502840617502	0.012649728221564063	0.3786905606166799
Maternal abx (vs None)	ARO:3000194	0.2921139841725835	0.01458508013291832	0.3786905606166799
Maternal abx (vs None)	ARO:3003078	-0.11067303749502092	0.017113231457742187	0.3786905606166799
Maternal abx (vs None)	ARO:3004114	0.1704909423358656	0.019420028749573326	0.3786905606166799
Maternal abx (vs None)	ARO:3003079	-0.101781405483575	0.029701493406524615	0.46535904727465505
Maternal abx (vs None)	ARO:3003210	0.030515434405585833	0.03985178848145985	0.46535904727465505
Maternal abx (vs None)	ARO:3007752	0.20014664476607863	0.049419822776660016	0.46535904727465505
Maternal abx (vs None)	ARO:3000829	0.19552454003212452	0.05245405751602784	0.46535904727465505
Maternal abx (vs None)	ARO:3003805	-0.1048441713858873	0.06140492963049647	0.46535904727465505
Maternal abx (vs None)	ARO:3003735	-0.15485143915885793	0.06761983021901537	0.46535904727465505
Maternal abx (vs None)	ARO:3005664	-0.09255483259742402	0.07146291846971743	0.46535904727465505
Maternal abx (vs None)	ARO:3003291	-0.1848810021716866	0.07230631650508461	0.46535904727465505
Maternal abx (vs None)	ARO:3003890	0.17146212471354494	0.07245238935044855	0.46535904727465505
Maternal abx (vs None)	ARO:3000516	0.10847202321838911	0.07541709745827817	0.46535904727465505
Maternal abx (vs None)	ARO:3001998	-0.09432909347984154	0.07679839700582014	0.46535904727465505
Maternal abx (vs None)	ARO:3004045	0.11928317026252509	0.07732877109995143	0.46535904727465505
Maternal abx (vs None)	ARO:3003899	0.1558761007662301	0.07833948188989424	0.46535904727465505
Maternal abx (vs None)	ARO:3002872	0.026596748040845854	0.08289004054940023	0.46535904727465505
Maternal abx (vs None)	ARO:3003381	0.12431714809737401	0.08589581474597661	0.46535904727465505
Maternal abx (vs None)	ARO:3007751	0.17207171644402053	0.08750341059865309	0.46535904727465505
Maternal abx (vs None)	ARO:3003511	0.11615961022253811	0.09727717698600938	0.4782155029231625
Maternal abx (vs None)	ARO:3003900	0.17268807106950243	0.10047682110945959	0.4782155029231625
Maternal abx (vs None)	ARO:3000830	0.14307140848103764	0.10309469289776843	0.4782155029231625
Maternal abx (vs None)	ARO:3000828	0.1045669007304393	0.10720851519679674	0.4782155029231625
Maternal abx (vs None)	ARO:3003797	-0.08914872776216594	0.11035742375149904	0.4782155029231625
Maternal abx (vs None)	ARO:3000599	0.09814441157072877	0.11568695792498417	0.4834062170436838
Maternal abx (vs None)	ARO:3003968	0.12678380967756317	0.11986511511728283	0.48359374030076174
Maternal abx (vs None)	ARO:3003378	0.07351341455085542	0.12464677880298626	0.48612243733164645
Donor milk (vs Mother's)	ARO:3005099	0.18346172297543215	0.0008241978223943175	0.09643114522013514
Donor milk (vs Mother's)	ARO:3000599	0.16803388915128334	0.07183762352762164	0.9686939300525664
Donor milk (vs Mother's)	ARO:3002804	0.0980108522591405	0.0824911928315827	0.9686939300525664
Donor milk (vs Mother's)	ARO:3001214	-0.12236797909575625	0.09041351439545964	0.9686939300525664
Donor milk (vs Mother's)	ARO:3000410	-0.29995402106996577	0.09742017563834163	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003390	-0.12070783558316836	0.11024233989365596	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003582	-0.11105873775100876	0.1268140463350745	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003285	0.2260603043393047	0.14557084349405708	0.9686939300525664
Donor milk (vs Mother's)	ARO:3002865	0.12404085599407857	0.1499635601122291	0.9686939300525664
Donor milk (vs Mother's)	ARO:3006875	-0.1065615999608604	0.17051728946677247	0.9686939300525664
Donor milk (vs Mother's)	ARO:3006877	-0.10653702980112396	0.17052221468436335	0.9686939300525664
Donor milk (vs Mother's)	ARO:3006874	-0.10653680266652032	0.1705241212408397	0.9686939300525664
Donor milk (vs Mother's)	ARO:3006876	-0.10663466127194028	0.17061191980860624	0.9686939300525664
Donor milk (vs Mother's)	ARO:3004290	-0.10728402446371096	0.17064945112162389	0.9686939300525664
Donor milk (vs Mother's)	ARO:3006878	-0.10647651416515604	0.17065830227393108	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003078	-0.09418237757848053	0.17414018546465926	0.9686939300525664
Donor milk (vs Mother's)	ARO:3006879	-0.10541531071410873	0.1769305814608173	0.9686939300525664
Donor milk (vs Mother's)	ARO:3000621	0.2058644786869669	0.18875117688802756	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003937	0.14069177115122933	0.21119691389910478	0.9686939300525664
Donor milk (vs Mother's)	ARO:3000412	-0.1715598937137426	0.22867380652056057	0.9686939300525664
Donor milk (vs Mother's)	ARO:3004126	-0.13201509954186474	0.22890875595855942	0.9686939300525664
Donor milk (vs Mother's)	ARO:3000178	0.04886470148867283	0.2532163570139254	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003297	0.175223553452161	0.2724070562060702	0.9686939300525664
Donor milk (vs Mother's)	ARO:3000822	-0.1208007933406214	0.27518097772908445	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003735	0.13559067515174758	0.28388632192111574	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003077	-0.060261978736812175	0.28912112449116534	0.9686939300525664
Donor milk (vs Mother's)	ARO:3004639	-0.07559013151761265	0.29707488239616786	0.9686939300525664
Donor milk (vs Mother's)	ARO:3000215	0.1072657412206587	0.31352837672161415	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003291	0.15414693155429765	0.3153159640194677	0.9686939300525664
Donor milk (vs Mother's)	ARO:3003729	0.1198021001092744	0.32913046603780804	0.9686939300525664
Gestational age (per week)	ARO:3000217	-0.08569037108301027	0.00036335220409315313	0.03015345122238145
Gestational age (per week)	ARO:3000621	-0.07718831584911225	0.0005154436106389992	0.03015345122238145
Gestational age (per week)	ARO:3004956	0.02834975873352568	0.0012564518854992497	0.04900162353447074
Gestational age (per week)	ARO:3000124	-0.01893247776814326	0.0025422971051440573	0.06965452449768662
Gestational age (per week)	ARO:3003729	-0.051601615333912436	0.0030434946123661173	0.06965452449768662
Gestational age (per week)	ARO:3003323	-0.02601070251836937	0.003572026897317263	0.06965452449768662
Gestational age (per week)	ARO:3000617	-0.07860277699287097	0.004723886776424085	0.0783685161515304
Gestational age (per week)	ARO:3003937	-0.04422074724305991	0.005358531018908062	0.0783685161515304
Gestational age (per week)	ARO:3000521	-0.05153425253795591	0.006154570842686147	0.0800094209549199
Gestational age (per week)	ARO:3002591	-0.05403833637772489	0.012901645919563463	0.11429271917592687
Gestational age (per week)	ARO:3003735	-0.04408939059388447	0.014231064813320968	0.11429271917592687
Gestational age (per week)	ARO:3003092	-0.03665140951738061	0.014347762843926987	0.11429271917592687
Gestational age (per week)	ARO:3003042	0.028927620053164665	0.014836182029412583	0.11429271917592687
Gestational age (per week)	ARO:3003737	-0.02746123581561108	0.014873007297394285	0.11429271917592687
Gestational age (per week)	ARO:3000215	-0.036432039190164314	0.014960787493960416	0.11429271917592687
Gestational age (per week)	ARO:3002865	-0.029550238373766417	0.015629773562519916	0.11429271917592687
Gestational age (per week)	ARO:3003901	-0.03428582976412609	0.01760739296547484	0.12118029276238565
Gestational age (per week)	ARO:3003794	-0.03542005324049552	0.02802272053397032	0.18214768347080706
Gestational age (per week)	ARO:3000516	0.026042173322039012	0.04467202918614309	0.2643542339002788
Gestational age (per week)	ARO:3003893	0.028689377922301116	0.04518875793167159	0.2643542339002788
Gestational age (per week)	ARO:3004045	0.0277423106457336	0.05330645659646596	0.2969931153231675
Gestational age (per week)	ARO:3003511	0.028405736756089376	0.05652464126665637	0.30060831946358163
Gestational age (per week)	ARO:3003922	0.05418972289823448	0.06158665919596198	0.3018466082976957
Gestational age (per week)	ARO:3002804	0.014680932131849928	0.06380131959279836	0.3018466082976957
Gestational age (per week)	ARO:3000822	0.028460051033850936	0.06767354816388342	0.3018466082976957
Gestational age (per week)	ARO:3003043	0.022875177829766644	0.0700059372165373	0.3018466082976957
Gestational age (per week)	ARO:3000829	0.03859228354377928	0.07184243264500233	0.3018466082976957
Gestational age (per week)	ARO:3003923	0.06891615056114272	0.07445440809772999	0.3018466082976957
Gestational age (per week)	ARO:3000830	0.03253710503926803	0.08125330189667826	0.3018466082976957
Gestational age (per week)	ARO:3005664	0.018990636047768197	0.08221986781135439	0.3018466082976957
