aro_id	n	converged	BodySite[T.Groin]_coef	BodySite[T.Groin]_pvalue	BodySite[T.Stool]_coef	BodySite[T.Stool]_pvalue	Week[T.Week.3]_coef	Week[T.Week.3]_pvalue	PostNatalAbxCohort[T.Low.Infant.Abx]_coef	PostNatalAbxCohort[T.Low.Infant.Abx]_pvalue	PostNatalAbxCohort[T.High.Infant.Abx]_coef	PostNatalAbxCohort[T.High.Infant.Abx]_pvalue	MaternalAntibiotics[T.Mat.Abx]_coef	MaternalAntibiotics[T.Mat.Abx]_pvalue	AnyMilk[T.Donor]_coef	AnyMilk[T.Donor]_pvalue	GestationTime_coef	GestationTime_pvalue	gene_family	subclass	megares_class
ARO:3001998	552	True	0.04761024928602834	0.05334972769748481	0.1014880707990459	3.6353590574849944e-05	0.0621530357589752	0.0026405721984964184	0.07905782865726974	0.15109110205860202	0.08126896598767673	0.10699193320766656	-0.09432909347984154	0.07679839700582014	-0.0461073878693575	0.5708953442677176	0.019447691523245988	0.08646693531210757	blaCTX-M	CEPHALOSPORIN	betalactams
ARO:3002591	552	True	-0.43730102607611504	2.730812577221721e-09	-0.2566231997887202	0.00046203062109294774	0.13596788126634574	0.025727876456647175	0.08532739965913821	0.4310371645114627	-0.18673041776137136	0.06523185911085896	-0.008554422273830969	0.9333600580169094	0.10349712530611224	0.49975007937775273	-0.05403833637772489	0.012901645919563463	aac(3)-IIa;aac(3)-IIc;aac(3)-IId;aac(3)-IIe;aac(3)-XI;aac(6')-IIa;aac(6')-Ib';aac(6')-Ib-AGKT;aac(6')-Ib-AKT;aac(6')-Ib-D181Y;aac(6')-Ib-G;aac(6')-Ib-K;aac(6')-Ib-W104R;aac(6')-Ib-cr;aac(6')-Ib11;aac(6')-Ie;aac(6')-Ie2;aac(6')-Im;aac(6')_Entco;aph(2'')-Ia;aph(2'')-If2	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN;AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN;AMIKACIN/KANAMYCIN/TOBRAMYCIN;AMINOGLYCOSIDE;GENTAMICIN;GENTAMICIN/KANAMYCIN/TOBRAMYCIN;KANAMYCIN	Aminoglycosides
ARO:3002619	552	True	-0.04568706641492783	0.08046052168241441	-0.08697522213397912	0.000838772958333694	0.045951496347266814	0.03385857628840869	0.01967717837833858	0.6124805287924444	0.09336936828047855	0.010150129183778315	-0.035966017553858996	0.32676115615377144	-0.038973411157336484	0.4785624574113868	0.0026135271649039204	0.7371946760000929	aadA22	STREPTOMYCIN	Aminoglycosides
ARO:3002703	552	True	-0.14060578782692806	0.0007411421164348491	-0.2689306982667015	9.530454018060488e-11	0.09734465122823084	0.004998438131223292	-0.05371756945548113	0.4479928267905635	0.1063754821724345	0.10572557177125103	-0.019067976388371634	0.7762524983317304	-0.0152306057333631	0.8804426644560608	-0.01027596537394683	0.4709989942156987	cmx	CHLORAMPHENICOL	Phenicol
ARO:3002804	552	True	0.05051303034178406	0.01647375088492347	0.11336419557182785	6.762327301786929e-08	0.05192910600395034	0.003129576267880272	0.0011236908017146748	0.977126396990871	0.04923509805513871	0.17231702974952412	0.03647128864384487	0.3274856940032006	0.0980108522591405	0.0824911928315827	0.014680932131849928	0.06380131959279836	fos_A_A2	FOSFOMYCIN	Fosfomycin
ARO:3002865	552	True	-0.25855769903337755	9.737569903911077e-10	-0.25820668721686696	8.924820336014235e-10	-0.08257730056795236	0.018350288429869275	-0.1328212896525636	0.02939507311684148	-0.2854383593257161	5.567986182900543e-07	0.015133588180108124	0.7925908200051579	0.12404085599407857	0.1499635601122291	-0.029550238373766417	0.015629773562519916	dfrC	TRIMETHOPRIM	Trimethoprim
ARO:3002868	552	True	0.01739891108293964	0.344454053898648	0.062176378449830566	0.0006998002613505354	0.019270842977284028	0.20726319581642794	-0.0028154766603076874	0.9226351825705269	0.01839278544194984	0.49591008726250385	0.003210044792417433	0.9067978665896591	-0.021428815124091203	0.6033553362969365	0.0004097686886288286	0.9439307086337289	dfrG	TRIMETHOPRIM	Trimethoprim
ARO:3002869	552	True	0.027509571459127833	0.2808660914349247	0.08582645053084005	0.0007369715758489288	0.026158345163093066	0.217021325249934	-0.003402989916524148	0.933385598643776	0.029528716027699405	0.4359063248964693	0.0037911822130698228	0.9215948670407293	-0.022512066476933688	0.6978017422305969	0.0021265887788615954	0.7950248286104074	dfrK	TRIMETHOPRIM	Trimethoprim
ARO:3002872	552	True	0.027911688725760397	0.04137340919605209	0.06926211176118946	3.730846194868081e-07	0.04066392209366516	0.0003059285865840288	-0.002746100009367651	0.8657463349217815	0.0050717380855201675	0.7415341241207928	0.026596748040845854	0.08289004054940023	-0.002780755128706174	0.9024169640249347	0.0014361884021547333	0.6586187194908004	fos_A3_A4	FOSFOMYCIN	Fosfomycin
ARO:3003042	552	True	-0.21929297504879358	4.724432667093117e-08	-0.1578360587550765	8.00076620488661e-05	0.0690313081053168	0.03810162492374252	-0.0010148604932155776	0.9863249634338177	0.05379649672637014	0.33133606518347414	0.017571912735069382	0.7533253402050845	0.005928850271613362	0.9436111246535922	0.028927620053164665	0.014836182029412583	pbp2b	BETA-LACTAM	betalactams
