aro_id	effect	effect_label	coef	se	pvalue	fdr	gene_family	subclass	megares_class
ARO:3006260	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0004978334025190267	0.07249448264302395	0.9945208180088192	0.9945208180088192	blaACT	CEPHALOSPORIN	betalactams
ARO:3007752	BodySite[T.Groin]	Groin (vs Axilla)	0.5262367529225401	0.06114831175465299	7.571489474898304e-18	6.643363093429894e-16	gyrB	QUINOLONE	Fluoroquinolones
ARO:3003900	BodySite[T.Groin]	Groin (vs Axilla)	0.5235382199102165	0.06149829634089637	1.6941345247470296e-17	6.643363093429894e-16	cyaA	FOSMIDOMYCIN	
ARO:3007751	BodySite[T.Groin]	Groin (vs Axilla)	0.5143843323988473	0.06053749725070959	1.9463043833595905e-17	6.643363093429894e-16	gyrA	QUINOLONE	Fluoroquinolones
ARO:3003794	BodySite[T.Groin]	Groin (vs Axilla)	-0.5242953845043201	0.06183452483883408	2.2712352456170582e-17	6.643363093429894e-16	walK	DAPTOMYCIN	Lipopeptides
ARO:3003899	BodySite[T.Groin]	Groin (vs Axilla)	0.44825558638405694	0.05398710160311412	1.0150408207960236e-16	2.0761945280016488e-15	ptsI	FOSFOMYCIN	Fosfomycin
ARO:3000830	BodySite[T.Groin]	Groin (vs Axilla)	0.4328425152659316	0.052166441255937245	1.0647151425649481e-16	2.0761945280016488e-15	cpxA	CEFTIBUTEN-AVIBACTAM	Drug and biocide resistance
ARO:3004049	BodySite[T.Groin]	Groin (vs Axilla)	0.34176953265641374	0.042261107488458745	6.11052990816144e-16	1.0213314275069835e-14	fabG	TRICLOSAN	Phenolic compound resistance
ARO:3003585	BodySite[T.Groin]	Groin (vs Axilla)	0.33313646404303143	0.041754725079217146	1.4822605737272903e-15	2.167806089076162e-14	phoP	COLISTIN	Drug and biocide resistance
ARO:3004045	BodySite[T.Groin]	Groin (vs Axilla)	0.3254502576294394	0.04107656560988246	2.3181904793968427e-15	3.013647623215895e-14	fabI	TRICLOSAN	Phenolic compound resistance
ARO:3000829	BodySite[T.Groin]	Groin (vs Axilla)	0.4662926293500357	0.05931651859096574	3.807979581153337e-15	4.455336109949404e-14	baeS	AZTREONAM/AZTREONAM-AVIBACTAM;AZTREONAM/TEMOCILLIN/TICARCILLIN;CEFIDEROCOL;TEMOCILLIN	Drug and biocide and metal resistance
ARO:3000502	BodySite[T.Groin]	Groin (vs Axilla)	0.513113563451356	0.06608845316721029	8.226426996219837e-15	8.749926895979281e-14	acrF	EFFLUX	Drug and biocide resistance
ARO:3000516	BodySite[T.Groin]	Groin (vs Axilla)	0.2809782399849944	0.03686444076157261	2.4990777370502223e-14	2.436600793623967e-13	emrR	NITROXOLINE	Drug and biocide resistance
ARO:3003395	BodySite[T.Groin]	Groin (vs Axilla)	0.3206051624390467	0.04217106432783244	2.904828321085841e-14	2.614345488977257e-13	rpsL	STREPTOMYCIN	Aminoglycosides
ARO:3003511	BodySite[T.Groin]	Groin (vs Axilla)	0.3105266023198661	0.04092790366063357	3.26990208946988e-14	2.7327038890569715e-13	soxS	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Drug and biocide and metal resistance
