Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(Location)[T.Hangzhou]:C(SampleType)[T.Groin],-0.030480258677266434,0.041259330327839,0.46047847283894827,False,Interaction,Location,SampleType
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_UE],-0.02116971097719738,0.02935643768954302,0.47123858672735763,False,Interaction,SampleCollectionWeek,PICC
C(PICC)[T.PICC_UE]:C(Delivery)[T.Vaginal],0.16946438333047908,0.2368553199361984,0.47471804970724596,False,Interaction,PICC,Delivery
C(GestationCohort)[T.33-36 Weeks],0.059895826400504774,0.08450164350077809,0.4788397363039997,False,Main,,
C(SampleType)[T.Groin],0.05488068759812306,0.07789346501363786,0.481479701271026,False,Main,,
C(GestationCohort)[T.33-36 Weeks]:C(AnyMilk)[T.Mother],0.06155941567362566,0.08768692099002483,0.4830509150029365,False,Interaction,GestationCohort,AnyMilk
C(SampleType)[T.Groin]:C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.027853765274823604,0.04113964480916932,0.4987497621860568,False,Interaction,SampleType,PostNatalAbxCohort
C(SampleCollectionWeek)[T.Week.3]:C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.024582956366860996,0.03756083599228294,0.5131636199791366,False,Interaction,SampleCollectionWeek,PostNatalAbxCohort
C(SampleType)[T.Stool]:C(PICC)[T.axillary],0.04457778762680831,0.07178449775400866,0.5349448946375811,False,Interaction,SampleType,PICC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.034913018604641334,0.05761188967331987,0.5448443969664835,False,Interaction,PostNatalAbxCohort,MaternalAntibiotics
C(Location)[T.Hangzhou]:C(SampleType)[T.Stool],-0.021648479117001608,0.03629420635521261,0.5511859350180399,False,Interaction,Location,SampleType
C(SampleCollectionWeek)[T.Week.3]:C(AnyMilk)[T.No.Milk],0.03049979135542759,0.05185452721617733,0.5567322537073514,False,Interaction,SampleCollectionWeek,AnyMilk
C(PICC)[T.PICC_UE]:C(UVC)[T.UVC],0.031864435992935834,0.055706753685296526,0.5676303197267375,False,Interaction,PICC,UVC
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_Neck],1.399940763145585e-17,2.4817579768867527e-17,0.5729967152641717,False,Interaction,PostNatalAbxCohort,PICC
C(SampleType)[T.Groin]:C(PICC)[T.PICC_LE],0.02407439676507629,0.04330517599125097,0.578562961899385,False,Interaction,SampleType,PICC
C(SampleCollectionWeek)[T.Week.3]:C(AnyMilk)[T.Mother],-0.020310489074206246,0.03696116355104547,0.5829525311751589,False,Interaction,SampleCollectionWeek,AnyMilk
C(SampleType)[T.Groin]:C(Delivery)[T.Vaginal],0.021994206146095898,0.04042930739666476,0.5867230400337129,False,Interaction,SampleType,Delivery
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(PICC)[T.PICC_LE],0.044685848900919825,0.08258938686095581,0.5887569386466971,False,Interaction,PostNatalAbxCohort,PICC
C(AnyMilk)[T.No.Milk]:C(PICC)[T.PICC_UE],0.18795835525100762,0.35297419858789275,0.5946662121646962,False,Interaction,AnyMilk,PICC
C(GestationCohort)[T.28-32 Weeks]:C(PICC)[T.peripheral_UE],-0.08770705601842871,0.17105281000849343,0.6084007881068569,False,Interaction,GestationCohort,PICC
C(Location)[T.Hangzhou]:C(PICC)[T.PICC_Neck],-0.03585575559262335,0.07249431676177066,0.6211442111591521,False,Interaction,Location,PICC
C(PICC)[T.PICC_Neck],-0.03585575559262315,0.07249431676177043,0.6211442111591529,False,Main,,
C(AnyMilk)[T.Mother]:C(PICC)[T.PICC_Neck],-0.035855755592622114,0.07249431676176936,0.6211442111591579,False,Interaction,AnyMilk,PICC
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_Neck],-0.035855755592622114,0.07249431676176936,0.6211442111591579,False,Interaction,MaternalAntibiotics,PICC
C(UVC)[T.UVC],-0.05601946677974625,0.12277187772888043,0.6484213895889455,False,Main,,
C(AnyMilk)[T.Mother]:C(PICC)[T.PICC_LE],0.024694168925043065,0.05901031800044653,0.6758190103492826,False,Interaction,AnyMilk,PICC
C(SampleCollectionWeek)[T.Week.3]:C(GestationCohort)[T.33-36 Weeks],0.02197548932341728,0.053893057034706246,0.6836598942236629,False,Interaction,SampleCollectionWeek,GestationCohort
C(SampleType)[T.Stool]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],-0.016275662710232685,0.04041549960814319,0.6873705882422914,False,Interaction,SampleType,PostNatalAbxCohort
C(SampleType)[T.Groin]:C(GestationCohort)[T.28-32 Weeks],0.02110331316908986,0.053326293358114896,0.6925011702652206,False,Interaction,SampleType,GestationCohort
C(PICC)[T.PICC_LE]:C(UVC)[T.UVC],0.054421149474364675,0.13999594079186495,0.697672942876022,False,Interaction,PICC,UVC
C(Delivery)[T.Vaginal],0.04361811195954904,0.11656600169721777,0.7084527510413124,False,Main,,
C(Location)[T.Hangzhou]:C(PICC)[T.PICC_UE],-0.13814520995102958,0.37843428079646985,0.7152648812329734,False,Interaction,Location,PICC
