sample_name	species	Location	BodySite	genes_with_resistance	total_resistance_score	total_mutations	n_genes_with_resistance
N10_2_4	Escherichia_coli	UCMC	Stool	parE	0.0278	1	1
N10_2_4	Escherichia_coli	ZCH	Stool	parE	0.0278	1	1
N11_1_2	Enterococcus_faecium	UCMC	Axilla	gyrA	1.0	1	1
N11_1_2	Enterococcus_faecium	ZCH	Axilla	gyrA	1.0	1	1
N11_1_2	Staphylococcus_aureus	UCMC	Axilla	parC,parE	2.0	2	2
N11_1_2	Staphylococcus_aureus	ZCH	Axilla	parC,parE	2.0	2	2
N11_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9903	1	1
N11_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9903	1	1
N11_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N11_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N11_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	1.0	1	1
N11_1_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	1.0	1	1
N11_1_4	Staphylococcus_aureus	UCMC	Stool	gyrA,parC,parE	2.0051	5	3
N11_1_4	Staphylococcus_aureus	ZCH	Stool	gyrA,parC,parE	2.0051	5	3
N11_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N11_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N11_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N11_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N11_2_3	Escherichia_coli	UCMC	Groin	parC,parE	0.053000000000000005	2	2
N11_2_3	Escherichia_coli	ZCH	Groin	parC,parE	0.053000000000000005	2	2
N11_2_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	1.0	1	1
N11_2_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	1.0	1	1
N11_2_4	Klebsiella_oxytoca	UCMC	Stool	parC	0.0049	1	1
N11_2_4	Klebsiella_oxytoca	ZCH	Stool	parC	0.0049	1	1
N11_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.9583	1	1
N11_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.9583	1	1
N11_2_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.037	1	1
N11_2_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.037	1	1
N12_1_2	Enterococcus_faecalis	UCMC	Axilla	gyrA	1.0	1	1
N12_1_2	Enterococcus_faecalis	ZCH	Axilla	gyrA	1.0	1	1
N12_1_2	Enterococcus_faecium	UCMC	Axilla	gyrA	1.0	1	1
N12_1_2	Enterococcus_faecium	ZCH	Axilla	gyrA	1.0	1	1
N12_1_2	Klebsiella_pneumoniae	UCMC	Axilla	gyrA	1.0	1	1
N12_1_2	Klebsiella_pneumoniae	ZCH	Axilla	gyrA	1.0	1	1
N12_1_2	Staphylococcus_aureus	UCMC	Axilla	parC,parE	1.9799	4	2
